,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.96,1.279,2.031,6.444,0.046,0.057,811.0,772.0,1.0
beta_age_group[0],-0.042,0.161,-0.371,0.256,0.006,0.004,747.0,735.0,1.0
beta_age_group[1],-0.087,0.137,-0.351,0.191,0.005,0.003,694.0,717.0,1.0
beta_age_group[2],-0.096,0.136,-0.372,0.162,0.005,0.004,782.0,692.0,1.0
beta_age_group[3],-0.032,0.146,-0.29,0.264,0.005,0.004,737.0,671.0,1.0
beta_age_group_full[0],0.0,0.0,0.0,0.0,0.0,,800.0,800.0,
beta_age_group_full[1],-0.042,0.161,-0.371,0.256,0.006,0.004,747.0,735.0,1.0
beta_age_group_full[2],-0.087,0.137,-0.351,0.191,0.005,0.003,694.0,717.0,1.0
beta_age_group_full[3],-0.096,0.136,-0.372,0.162,0.005,0.004,782.0,692.0,1.0
beta_age_group_full[4],-0.032,0.146,-0.29,0.264,0.005,0.004,737.0,671.0,1.0
beta_school[0],-1.241,0.725,-2.687,0.139,0.026,0.018,782.0,760.0,1.0
beta_school[1],-0.141,0.22,-0.593,0.272,0.008,0.005,826.0,832.0,1.0
beta_school[2],1.823,0.197,1.428,2.207,0.007,0.005,779.0,809.0,1.0
beta_school[3],1.385,0.731,0.036,2.824,0.029,0.016,631.0,792.0,1.0
beta_school[4],-1.177,0.716,-2.616,0.197,0.025,0.018,838.0,794.0,1.0
beta_school[5],1.351,0.736,0.01,2.89,0.03,0.017,578.0,766.0,1.0
beta_vacc_status[0],-0.121,0.114,-0.355,0.1,0.004,0.003,817.0,735.0,1.01
beta_vacc_status[1],-0.027,0.098,-0.214,0.155,0.003,0.002,891.0,707.0,1.0
beta_vacc_status_full[0],0.0,0.0,0.0,0.0,0.0,,800.0,800.0,
beta_vacc_status_full[1],-0.121,0.114,-0.355,0.1,0.004,0.003,817.0,735.0,1.01
beta_vacc_status_full[2],-0.027,0.098,-0.214,0.155,0.003,0.002,891.0,707.0,1.0
beta_variant_full[0],0.0,0.0,0.0,0.0,0.0,,800.0,800.0,
group_intercept[0],-0.301,0.821,-2.274,1.251,0.031,0.034,668.0,753.0,1.0
holiday[0],0.012,0.212,-0.432,0.395,0.007,0.005,815.0,801.0,1.0
holiday_full[0],0.0,0.0,0.0,0.0,0.0,,800.0,800.0,
holiday_full[1],0.012,0.212,-0.432,0.395,0.007,0.005,815.0,801.0,1.0
hurdle,0.049,0.034,0.0,0.113,0.001,0.001,752.0,773.0,1.0
intercept,-1.537,0.848,-3.187,0.372,0.031,0.033,738.0,775.0,1.0
log_alpha,1.332,0.288,0.786,1.915,0.01,0.008,811.0,772.0,1.0
mu[0],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[1],0.145,0.033,0.088,0.214,0.001,0.001,785.0,772.0,1.0
mu[2],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[3],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[4],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[5],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[6],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[7],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[8],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[9],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[10],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[11],2.131,0.302,1.594,2.719,0.011,0.008,784.0,737.0,1.0
mu[12],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[13],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[14],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[15],1.165,0.188,0.811,1.524,0.007,0.006,767.0,582.0,1.0
mu[16],0.145,0.033,0.088,0.214,0.001,0.001,785.0,772.0,1.0
mu[17],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[18],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[19],0.145,0.033,0.088,0.214,0.001,0.001,785.0,772.0,1.0
mu[20],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[21],1.243,0.184,0.899,1.611,0.006,0.005,847.0,700.0,1.0
mu[22],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[23],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[24],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[25],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[26],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
